property,alt_property,label,onnx,result,time,details
prop_1_0.05.vnnlib,prop_1_0.05_alt.vnnlib,7,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext7.onnx,unsat,19.36274242401123,
prop_2_0.03.vnnlib,prop_2_0.03_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,unsat,4.68168568611145,
prop_2_0.05.vnnlib,prop_2_0.05_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,unsat,16.727275609970093,
prop_3_0.03.vnnlib,prop_3_0.03_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext0.onnx,unsat,6.6349170207977295,
prop_3_0.05.vnnlib,prop_3_0.05_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext0.onnx,unsat,3.973740816116333,
prop_4_0.03.vnnlib,prop_4_0.03_alt.vnnlib,3,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext3.onnx,unsat,5.578142404556274,
prop_4_0.05.vnnlib,prop_4_0.05_alt.vnnlib,3,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext3.onnx,unsat,6.677855730056763,
prop_5_0.03.vnnlib,prop_5_0.03_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext6.onnx,unsat,3.31381893157959,
prop_5_0.05.vnnlib,prop_5_0.05_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext6.onnx,unsat,7.628761529922485,
prop_6_0.03.vnnlib,prop_6_0.03_alt.vnnlib,5,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext5.onnx,unsat,7.434020519256592,
prop_6_0.05.vnnlib,prop_6_0.05_alt.vnnlib,5,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext5.onnx,unsat,10.14811635017395,
prop_7_0.03.vnnlib,prop_7_0.03_alt.vnnlib,5,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext5.onnx,unsat,5.852810382843018,
prop_7_0.05.vnnlib,prop_7_0.05_alt.vnnlib,5,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext5.onnx,unsat,4.537261962890625,
prop_8_0.03.vnnlib,prop_8_0.03_alt.vnnlib,3,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext3.onnx,unsat,5.998742341995239,
prop_8_0.05.vnnlib,prop_8_0.05_alt.vnnlib,3,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext3.onnx,unsat,11.402431011199951,
prop_9_0.03.vnnlib,prop_9_0.03_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext8.onnx,unsat,5.055638551712036,
prop_9_0.05.vnnlib,prop_9_0.05_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext8.onnx,unsat,3.694141149520874,
